Series_reference,Period,Data_value,STATUS_status,UNITS_units,Subject_subject,Group_grp,Series_title_1,UniqueNumber
CPIQ.SE901,1926.12,19.26457599,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,51
CPIQ.SE901,1927.03,19.26457599,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,52
CPIQ.SE901,1927.06,19.11972948,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,53
CPIQ.SE901,1927.09,18.89587614,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,54
CPIQ.SE901,1927.12,18.94854711,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,55
CPIQ.SE901,1928.03,19.09339362,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,56
CPIQ.SE901,1928.06,19.27774392,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,57
CPIQ.SE901,1928.09,19.27774392,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,58
CPIQ.SE901,1928.12,19.6991155,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,59
CPIQ.SE901,1929.03,19.48842933,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,60
CPIQ.SE901,1929.06,19.42259043,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,61
CPIQ.SE901,1929.09,19.42666337,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,62
CPIQ.SE901,1929.12,19.58069073,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,63
CPIQ.SE901,1930.03,19.25338298,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,64
CPIQ.SE901,1930.06,19.06084954,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,65
CPIQ.SE901,1930.09,18.63727508,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,66
CPIQ.SE901,1930.12,18.11743389,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,67
CPIQ.SE901,1931.03,16.92372416,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,68
CPIQ.SE901,1931.06,16.3076155,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,69
CPIQ.SE901,1931.09,15.78777432,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,70
CPIQ.SE901,1931.12,16.01881459,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,71
CPIQ.SE901,1932.03,15.59524012,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,72
CPIQ.SE901,1932.06,15.15241261,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,73
